gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE4000,269,61,527,364,196,142,268,303,124,327,253,270
GENE4001,1021,421,1170,500,255,1175,799,807,267,814,450,461
GENE4002,296,438,267,428,98,312,310,552,206,197,366,160
GENE4003,5,20,13,9,12,20,6,21,11,12,15,16
GENE4004,2,2,11,2,2,5,4,3,9,5,2,6
GENE4005,50,40,53,78,27,24,11,26,34,57,53,54
GENE4006,133,190,80,471,129,314,228,157,111,395,238,142
GENE4007,128,121,122,102,107,136,369,1778,814,756,777,1380
GENE4008,1177,978,427,1261,486,720,862,1529,702,693,565,517
GENE4009,72,191,185,141,50,211,94,402,104,190,180,128
GENE4010,126,175,120,96,114,215,155,144,83,93,197,257
GENE4011,6,14,17,21,7,20,27,17,7,18,33,16
GENE4012,2,3,14,18,15,8,7,15,3,7,12,8
GENE4013,522,513,173,1647,710,427,535,407,628,280,238,410
GENE4014,29,50,61,51,42,91,80,90,48,64,36,39
GENE4015,109,135,75,403,139,307,82,145,75,246,205,289
GENE4016,7,6,5,9,2,7,3,7,2,5,2,5
GENE4017,11,41,32,37,15,46,10,36,30,11,25,15
GENE4018,4,6,7,6,3,9,9,8,14,9,7,4
GENE4019,21,1,17,4,17,17,16,27,13,2,21,24
GENE4020,120,538,124,140,101,253,130,142,284,162,159,126
GENE4021,7,4,9,7,2,9,3,2,2,9,6,4
GENE4022,17,47,25,17,21,9,16,40,13,16,46,11
GENE4023,71,88,48,87,45,143,62,80,61,48,27,48
GENE4024,12,10,19,19,15,22,8,29,2,10,32,25
GENE4025,13,32,28,41,22,50,54,76,16,36,24,10
GENE4026,16,36,12,16,13,42,30,62,38,57,28,24
GENE4027,113,116,86,125,42,94,64,76,90,33,136,92
GENE4028,32,22,39,26,13,30,37,25,21,62,22,20
GENE4029,64,38,83,60,37,97,82,156,45,33,39,107
GENE4030,46,33,63,55,17,97,40,75,57,54,43,70
GENE4031,50,47,53,144,26,72,78,69,69,184,99,157
GENE4032,94,65,99,74,60,36,100,70,35,52,117,91
GENE4033,477,1019,1000,1038,818,2287,927,1041,246,585,783,527
GENE4034,8,5,10,23,11,28,11,12,7,14,23,27
GENE4035,242,308,374,600,160,312,303,801,197,347,298,409
GENE4036,14,12,23,32,15,48,31,38,11,32,16,22
GENE4037,7,17,10,16,8,8,14,10,3,13,10,11
GENE4038,271,308,201,504,180,540,313,495,212,468,386,344
GENE4039,13,33,37,47,34,19,19,29,32,35,16,25
GENE4040,19,19,29,47,38,34,7,6,4,4,9,9
GENE4041,3,4,5,4,4,6,3,14,11,3,6,9
GENE4042,2,3,1,2,2,1,3,3,1,1,0,3
