gene,is_de,true_log2fc
GENE4000,0,0.0
GENE4001,0,0.0
GENE4002,0,0.0
GENE4003,0,0.0
GENE4004,0,0.0
GENE4005,0,0.0
GENE4006,0,0.0
GENE4007,0,0.0
GENE4008,0,0.0
GENE4009,0,0.0
GENE4010,0,0.0
GENE4011,0,0.0
GENE4012,0,0.0
GENE4013,0,0.0
GENE4014,0,0.0
GENE4015,0,0.0
GENE4016,0,0.0
GENE4017,0,0.0
GENE4018,0,0.0
GENE4019,0,0.0
GENE4020,0,0.0
GENE4021,0,0.0
GENE4022,0,0.0
GENE4023,0,0.0
GENE4024,0,0.0
GENE4025,0,0.0
GENE4026,0,0.0
GENE4027,0,0.0
GENE4028,0,0.0
GENE4029,0,0.0
GENE4030,0,0.0
GENE4031,0,0.0
GENE4032,0,0.0
GENE4033,0,0.0
GENE4034,0,0.0
GENE4035,0,0.0
GENE4036,0,0.0
GENE4037,0,0.0
GENE4038,0,0.0
GENE4039,0,0.0
GENE4040,1,-1.63
GENE4041,0,0.0
GENE4042,0,0.0
GENE4043,1,2.06
GENE4044,0,0.0
GENE4045,1,2.259
GENE4046,0,0.0
GENE4047,1,-1.12
GENE4048,0,0.0
GENE4049,0,0.0
GENE4050,0,0.0
GENE4051,0,0.0
GENE4052,0,0.0
GENE4053,1,1.292
GENE4054,0,0.0
GENE4055,0,0.0
GENE4056,0,0.0
GENE4057,0,0.0
GENE4058,0,0.0
GENE4059,0,0.0
GENE4060,0,0.0
GENE4061,0,0.0
GENE4062,0,0.0
GENE4063,0,0.0
GENE4064,0,0.0
GENE4065,0,0.0
GENE4066,0,0.0
GENE4067,0,0.0
GENE4068,0,0.0
GENE4069,0,0.0
GENE4070,0,0.0
GENE4071,0,0.0
GENE4072,0,0.0
GENE4073,0,0.0
GENE4074,0,0.0
GENE4075,0,0.0
GENE4076,0,0.0
GENE4077,0,0.0
GENE4078,1,2.52
GENE4079,0,0.0
GENE4080,0,0.0
GENE4081,1,-2.643
GENE4082,1,2.774
GENE4083,0,0.0
GENE4084,0,0.0
GENE4085,0,0.0
GENE4086,0,0.0
GENE4087,0,0.0
GENE4088,0,0.0
GENE4089,0,0.0
GENE4090,0,0.0
GENE4091,0,0.0
GENE4092,0,0.0
GENE4093,0,0.0
GENE4094,0,0.0
GENE4095,0,0.0
GENE4096,0,0.0
GENE4097,0,0.0
GENE4098,0,0.0
GENE4099,0,0.0
GENE4100,0,0.0
GENE4101,0,0.0
GENE4102,0,0.0
GENE4103,0,0.0
GENE4104,0,0.0
GENE4105,0,0.0
GENE4106,1,2.608
GENE4107,0,0.0
GENE4108,0,0.0
GENE4109,0,0.0
GENE4110,0,0.0
GENE4111,0,0.0
GENE4112,1,0.963
GENE4113,0,0.0
GENE4114,0,0.0
GENE4115,0,0.0
GENE4116,1,2.029
GENE4117,0,0.0
GENE4118,0,0.0
GENE4119,0,0.0
GENE4120,0,0.0
GENE4121,0,0.0
GENE4122,0,0.0
GENE4123,0,0.0
GENE4124,0,0.0
GENE4125,0,0.0
GENE4126,0,0.0
GENE4127,0,0.0
GENE4128,0,0.0
GENE4129,0,0.0
GENE4130,0,0.0
GENE4131,0,0.0
GENE4132,0,0.0
GENE4133,0,0.0
GENE4134,1,-2.284
GENE4135,0,0.0
GENE4136,0,0.0
GENE4137,0,0.0
GENE4138,0,0.0
GENE4139,0,0.0
GENE4140,0,0.0
GENE4141,0,0.0
GENE4142,0,0.0
GENE4143,0,0.0
GENE4144,0,0.0
GENE4145,0,0.0
GENE4146,0,0.0
GENE4147,0,0.0
GENE4148,0,0.0
GENE4149,0,0.0
GENE4150,0,0.0
GENE4151,0,0.0
GENE4152,0,0.0
GENE4153,1,-2.001
GENE4154,0,0.0
GENE4155,0,0.0
GENE4156,1,2.5
GENE4157,0,0.0
GENE4158,0,0.0
GENE4159,0,0.0
GENE4160,0,0.0
GENE4161,0,0.0
GENE4162,0,0.0
GENE4163,0,0.0
