gene,log2fc,pvalue,ci_low,ci_high,fdr,significant,is_de,true_log2fc
GENE4000,0.1443940403067323,0.7831620969278177,-1.0917767201073307,1.3805648007207953,0.9751492237835028,False,0,0.0
GENE4001,-0.3080966292081655,0.4403796050238553,-1.1870756592951395,0.5708824008788085,0.9055806785604976,False,0,0.0
GENE4002,-0.10499653463754122,0.7369764577375704,-0.7824794309536791,0.5724863616785967,0.9691735388751649,False,0,0.0
GENE4003,0.002251627174061799,0.9946947321584325,-0.736333751686618,0.7408370060347416,0.9984045558053897,False,0,0.0
GENE4004,0.30979296618581076,0.5041653431959071,-0.6864800670837468,1.3060659994553683,0.9170564455607898,False,0,0.0
GENE4005,-0.35607346550123964,0.4636647589594656,-1.41333975399034,0.7011928229878608,0.9072637960246164,False,0,0.0
GENE4006,-0.0033136650776670606,0.993585039452964,-0.906344873420086,0.8997175432647518,0.9984045558053897,False,0,0.0
GENE4007,2.783321420506293,5.791770037267945e-05,2.001673904257414,3.5649689367551716,0.002185251582465792,True,0,0.0
GENE4008,-0.11465999891818335,0.7211240887164092,-0.8247141560303182,0.5953941581939515,0.9691735388751649,False,0,0.0
GENE4009,0.28259745546506654,0.38348206913026206,-0.4083343810000146,0.9735292919301477,0.8827113054163502,False,0,0.0
GENE4010,0.0020725678118145296,0.9950596905771523,-0.7382497040305742,0.7423948396542033,0.9984045558053897,False,0,0.0
GENE4011,0.376284184901309,0.2834247095350859,-0.3730648190590069,1.125633188861625,0.8248301268542327,False,0,0.0
GENE4012,-0.08225868596717412,0.880297784321974,-1.326832505322776,1.1623151333884278,0.9828540667920449,False,0,0.0
GENE4013,-0.5171405449777389,0.3627487586383515,-1.7484621680673977,0.71418107811192,0.8772308517010946,False,0,0.0
GENE4014,0.06094794805920145,0.7951990551745937,-0.448464790712522,0.5703606868309249,0.9785159713207616,False,0,0.0
GENE4015,-0.16948102850458024,0.7197540779370206,-1.1927311453600153,0.8537690883508549,0.9691735388751649,False,0,0.0
GENE4016,-0.5580189887506823,0.05234720979689603,-1.1229035053106786,0.0068655278093138206,0.39893164184729357,False,0,0.0
GENE4017,-0.5567558639211585,0.179044925407276,-1.4218191780407845,0.3083074501984674,0.7329531589294439,False,0,0.0
GENE4018,0.4091190454989433,0.17645611283656495,-0.2409453397083995,1.0591834307062862,0.7260433809421163,False,0,0.0
GENE4019,0.43399384431445,0.6045796576678815,-1.386396742406871,2.254384431035771,0.9330779399297339,False,0,0.0
GENE4020,-0.20362300865540028,0.624512332331466,-1.1058839078563025,0.6986378905455018,0.9369670967915277,False,0,0.0
GENE4021,-0.5373237104395763,0.16505709230112023,-1.339318423247569,0.26467100236841656,0.7056012062656114,False,0,0.0
GENE4022,-0.06947409262935,0.8822854261236004,-1.0911848126997508,0.9522366274410508,0.9828540667920449,False,0,0.0
GENE4023,-0.5953998274719652,0.05251758323052979,-1.1986792101783739,0.007879555234443503,0.39893164184729357,False,0,0.0
GENE4024,-0.333511975414555,0.5564250503958735,-1.6380319749787677,0.9710080241496577,0.9232594227687783,False,0,0.0
GENE4025,-0.05283210134202765,0.8973916117313745,-0.9756433599694374,0.8699791572853821,0.9850860719190077,False,0,0.0
GENE4026,0.8018390639722952,0.02636863371365959,0.11868727324458828,1.4849908547000021,0.2565421260319098,False,0,0.0
GENE4027,-0.34312456746937414,0.38731314212434725,-1.2209934921437173,0.5347443572049689,0.8827113054163502,False,0,0.0
GENE4028,0.07381797787505029,0.8039650817708455,-0.5764100555226215,0.7240460112727221,0.9801179834252379,False,0,0.0
GENE4029,0.06592850504607384,0.8664912388163263,-0.8071366493249816,0.9389936594171293,0.9803012537877377,False,0,0.0
GENE4030,0.19515802536891336,0.5172062930603871,-0.4655614089018941,0.8558774596397208,0.9170564455607898,False,0,0.0
GENE4031,0.741387587573044,0.06385462769398584,-0.05179055787162423,1.5345657330177123,0.4425013673530598,False,0,0.0
GENE4032,0.0013060094781245368,0.9973935132172322,-0.868152816460983,0.870764835417232,0.9984045558053897,False,0,0.0
GENE4033,-0.7520569574168334,0.043423338336493096,-1.4771039570210758,-0.02700995781259119,0.3581518180480568,False,0,0.0
GENE4034,0.1517306107637384,0.7314968045165151,-0.8077551331259043,1.111216354653381,0.9691735388751649,False,0,0.0
GENE4035,0.13287678029551309,0.5940912415690865,-0.4060573187372163,0.6718108793282425,0.929563511803904,False,0,0.0
GENE4036,0.0354846813794909,0.9086882619037232,-0.6430185050861531,0.7139878678451349,0.9882485227201836,False,0,0.0
GENE4037,-0.21802666217423416,0.48355019841530356,-0.8932739460797183,0.45722062173125,0.9135954938974477,False,0,0.0
GENE4038,0.13873480722958753,0.5179803796739968,-0.3383748301792076,0.6158444446383826,0.9170564455607898,False,0,0.0
GENE4039,-0.23436550857028937,0.5085273292208158,-1.0071184605075478,0.538387443366969,0.9170564455607898,False,0,0.0
GENE4040,-2.1504755454099866,6.193227574582404e-05,-2.871188823161788,-1.4297622676581851,0.002243838890150513,True,1,-1.63
GENE4041,0.4830991432148548,0.22965308972005183,-0.39971851377666745,1.365916800206377,0.7847142771576165,False,0,0.0
GENE4042,-0.20714613118336644,0.6024086247573197,-1.0818467524039495,0.6675544900372167,0.9330779399297339,False,0,0.0
GENE4043,1.5962332592675015,0.0023850693894289683,0.7162932213126101,2.4761732972223927,0.03709064601671033,True,1,2.06
GENE4044,0.042086646716628096,0.8942014538327361,-0.650364270604848,0.7345375640381042,0.9844191032996955,False,0,0.0
GENE4045,2.314200254333236,0.00018947496115153778,1.5251042664915144,3.1032962421749573,0.005152369187960658,True,1,2.259
GENE4046,2.957790856414622,4.616566572838286e-05,2.1009678673796652,3.814613845449579,0.0020547281581003887,True,0,0.0
GENE4047,-0.5826565777456159,0.3642173662758975,-1.980893105059474,0.8155799495682423,0.8772308517010946,False,1,-1.12
GENE4048,0.3268853913846348,0.4121436361651324,-0.5244719582673905,1.17824274103666,0.8935502416230686,False,0,0.0
GENE4049,0.10483119263930352,0.7724946000988949,-0.7284517393078015,0.9381141245864085,0.9751387777485206,False,0,0.0
